ZIPCODE,PREVIOUS COUNT,ALERT FLAG
40003,0,0
40004,0,0
40006,0,0
40007,0,0
40008,0,0
40009,0,0
40010,0,0
40011,0,0
40012,0,0
40013,0,0
40014,0,0
40019,0,0
40020,0,0
40022,0,0
40023,0,0
40025,0,0
40026,0,0
40031,0,0
40033,0,0
40036,0,0
40037,0,0
40040,0,0
40041,0,0
40045,0,0
40046,0,0
40047,0,0
40048,0,0
40049,0,0
40050,0,0
40051,0,0
40052,0,0
40055,0,0
40056,0,0
40057,0,0
40058,0,0
40059,0,0
40060,0,0
40062,0,0
40063,0,0
40065,0,0
40067,0,0
40068,0,0
40069,0,0
40070,0,0
40071,0,0
40075,0,0
40076,0,0
40077,0,0
40078,0,0
40104,0,0
40107,0,0
40108,0,0
40109,0,0
40110,0,0
40111,0,0
40115,0,0
40117,0,0
40118,0,0
40119,0,0
40121,0,0
40140,0,0
40142,0,0
40143,0,0
40144,0,0
40145,0,0
40146,0,0
40150,0,0
40152,0,0
40155,0,0
40157,0,0
40160,0,0
40161,0,0
40162,0,0
40165,0,0
40170,0,0
40171,0,0
40175,0,0
40176,0,0
40177,0,0
40178,0,0
40202,0,0
40203,0,0
40204,0,0
40205,0,0
40232,0,0
40206,0,0
40207,0,0
40208,0,0
40209,0,0
40210,0,0
40211,0,0
40212,0,0
40213,0,0
40214,0,0
40215,0,0
40216,0,0
40217,0,0
40218,0,0
40219,0,0
40220,0,0
40222,0,0
40223,0,0
40228,0,0
40229,0,0
40231,0,0
40241,0,0
40242,0,0
40243,0,0
40245,0,0
40258,0,0
40272,0,0
40280,0,0
40291,0,0
40299,0,0
40310,0,0
40311,0,0
40312,0,0
40313,0,0
40316,0,0
40322,0,0
40324,0,0
40328,0,0
40330,0,0
40334,0,0
40336,0,0
40337,0,0
40339,0,0
40342,0,0
40346,0,0
40347,0,0
40348,0,0
40351,0,0
40353,0,0
40356,0,0
40358,0,0
40359,0,0
40360,0,0
40361,0,0
40363,0,0
40370,0,0
40371,0,0
40372,0,0
40374,0,0
40376,0,0
40379,0,0
40380,0,0
40383,0,0
40385,0,0
40387,0,0
40390,0,0
